product_name, price, link, color
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/dr20201-dr20201-pk.html, BEIGE, OFF-WHITE
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/dr20204-dr20204-pk.html, BLUE, YELLOW
shirt shalwar, 2690, https://pk.khaadi.com/new-in/i20202-i20202-pk.html, BLUE, YELLOW
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20204-ji20204-pk.html, WHITE
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20205-ji20205-pk.html, BLUE
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20206-ji20206-pk.html, BEIGE
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20207-ji20207-pk.html, ORANGE
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20208-ji20208-pk.html, WHITE
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/k20202-k20202-pk.html, BLUE, BEIGE
kameez dupatta, 2790, https://pk.khaadi.com/new-in/m20203-m20203-pk.html, BLUE, BEIGE
kameez shalwar, 2990, https://pk.khaadi.com/new-in/n20201-n20201-pk.html, BLACK, GREEN
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/r20202-r20202-pk.html, BLACK, YELLOW
kameez dupatta shalwar, 13590, https://pk.khaadi.com/new-in/lco20102-lco20102-pk.html, ORANGE
dupatta, 2490, https://pk.khaadi.com/new-in/adp20216-adp20216-pk.html, BLACK
dupatta, 1390, https://pk.khaadi.com/new-in/adp20220-adp20220-pk.html, BLUE
hair clip, 295, https://pk.khaadi.com/new-in/kahc20257-kahc20257-pk.html, MULTI
rug, 1500, https://pk.khaadi.com/new-in/hfm20204-hfm20204-pk.html, DEFAULT
rug, 5500, https://pk.khaadi.com/new-in/hfr20202-hfr20202-pk.html, DEFAULT
coaster, 100, https://pk.khaadi.com/new-in/ckc20205-ckc20205-pk.html, MULTI
coaster, 500, https://pk.khaadi.com/new-in/hcc20204-hcc20204-pk.html, DEFAULT
table mat, 350, https://pk.khaadi.com/new-in/htmp20202-htmp20202-pk.html, DEFAULT
table mat, 350, https://pk.khaadi.com/new-in/htmp20203-htmp20203-pk.html, DEFAULT
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20202-ckhp20202-pk.html, MULTI
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20203-ckhp20203-pk.html, MULTI
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20205-ckhp20205-pk.html, MULTI
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20207-ckhp20207-pk.html, MULTI
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20208-ckhp20208-pk.html, MULTI
dupatta, 2490, https://pk.khaadi.com/new-in/adp20217-adp20217-pk.html, BLUE
kameez shalwar, 2990, https://pk.khaadi.com/new-in/n20204-n20204-pk.html, BLUE, OFF-WHITE
kameez dupatta, 2790, https://pk.khaadi.com/new-in/m20207-m20207-pk.html, PINK, YELLOW
kameez dupatta shalwar, 5590, https://pk.khaadi.com/new-in/bb20201-bb20201-pk.html, BEIGE, YELLOW
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/dr20202-dr20202-pk.html, WHITE, OFF-WHITE
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/dr20203-dr20203-pk.html, RED, BLUE
shirt shalwar, 2690, https://pk.khaadi.com/new-in/i20203-i20203-pk.html, GREY, BEIGE
shirt shalwar, 2690, https://pk.khaadi.com/new-in/i20204-i20204-pk.html, PINK, GREEN
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20203-ji20203-pk.html, ORANGE
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/k20203-k20203-pk.html, PINK, OFF-WHITE
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/r20203-r20203-pk.html, BEIGE, OFF-WHITE
kameez dupatta, 3990, https://pk.khaadi.com/new-in/sy20201-sy20201-pk.html, GREY, OFF-WHITE
kameez dupatta, 3990, https://pk.khaadi.com/new-in/sy20203-sy20203-pk.html, BLUE, GREEN
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/r20203-r20203-pk.html, BEIGE, OFF-WHITE
kameez dupatta, 3990, https://pk.khaadi.com/new-in/sy20201-sy20201-pk.html, GREY, OFF-WHITE
kameez dupatta, 3990, https://pk.khaadi.com/new-in/sy20203-sy20203-pk.html, BLUE, GREEN
kameez dupatta shalwar, 5590, https://pk.khaadi.com/new-in/bb20202-bb20202-pk.html, BLUE, BEIGE
kameez dupatta shalwar, 5590, https://pk.khaadi.com/new-in/bb20203-bb20203-pk.html, RED, BEIGE
kameez dupatta shalwar, 13590, https://pk.khaadi.com/new-in/lco20103-lco20103-pk.html, PINK
kameez dupatta shalwar, 13590, https://pk.khaadi.com/new-in/lco20106-lco20106-pk.html, BLACK
top bottoms dupatta, 2790, https://pk.khaadi.com/new-in/a20224-a20224-pk.html, PURPLE, ORANGE
stole, 1200, https://pk.khaadi.com/new-in/aste20203-aste20203-pk.html, WHITE
stole, 790, https://pk.khaadi.com/new-in/astp20202-astp20202-pk.html, RED
dupatta, 1990, https://pk.khaadi.com/new-in/kdpe20201d-kdpe20201d-pk.html, PURPLE, WHITE
rug, 1500, https://pk.khaadi.com/new-in/hfm20201-hfm20201-pk.html, DEFAULT
rug, 1500, https://pk.khaadi.com/new-in/hfm20203-hfm20203-pk.html, DEFAULT
coaster, 100, https://pk.khaadi.com/new-in/ckc20202-ckc20202-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20203-ckc20203-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20204-ckc20204-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20208-ckc20208-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20209-ckc20209-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20210-ckc20210-pk.html, MULTI
coaster, 500, https://pk.khaadi.com/new-in/hcc20202-hcc20202-pk.html, DEFAULT
coaster, 500, https://pk.khaadi.com/new-in/hcc20208-hcc20208-pk.html, DEFAULT
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20201-ckhp20201-pk.html, MULTI
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20204-ckhp20204-pk.html, MULTI
hot plate, 250, https://pk.khaadi.com/new-in/ckhp20206-ckhp20206-pk.html, MULTI
dupatta, 1590, https://pk.khaadi.com/new-in/ade20211-ade20211-pk.html, PINK
kameez dupatta, 2790, https://pk.khaadi.com/new-in/m20206-m20206-pk.html, BLUE, BLACK
shirt shalwar, 2690, https://pk.khaadi.com/new-in/i20201-i20201-pk.html, PURPLE, BEIGE
shirt shalwar, 3990, https://pk.khaadi.com/new-in/ji20202-ji20202-pk.html, WHITE
hair clip, 195, https://pk.khaadi.com/new-in/kahc20255-kahc20255-pk.html, MULTI
hair clip, 195, https://pk.khaadi.com/new-in/kahc20256-kahc20256-pk.html, MULTI
rug, 5500, https://pk.khaadi.com/new-in/hfr20201-hfr20201-pk.html, DEFAULT
rug, 5500, https://pk.khaadi.com/new-in/hfr20203-hfr20203-pk.html, DEFAULT
coaster, 100, https://pk.khaadi.com/new-in/ckc20201-ckc20201-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20206-ckc20206-pk.html, MULTI
coaster, 100, https://pk.khaadi.com/new-in/ckc20207-ckc20207-pk.html, MULTI
coaster, 500, https://pk.khaadi.com/new-in/hcc20201-hcc20201-pk.html, DEFAULT
coaster, 500, https://pk.khaadi.com/new-in/hcc20205-hcc20205-pk.html, DEFAULT
coaster, 500, https://pk.khaadi.com/new-in/hcc20206-hcc20206-pk.html, DEFAULT
coaster, 500, https://pk.khaadi.com/new-in/hcc20207-hcc20207-pk.html, DEFAULT
table mat, 350, https://pk.khaadi.com/new-in/htmp20204-htmp20204-pk.html, DEFAULT
kameez dupatta shalwar, 4990, https://pk.khaadi.com/new-in/k20201-k20201-pk.html, PINK, GREEN
kurta, 8990, https://pk.khaadi.com/new-in/kck20208-kck20208-pk.html, GREEN
kurta, 3490, https://pk.khaadi.com/new-in/etpe20214-etpe20214-pk.html, BEIGE
kurta, 3990, https://pk.khaadi.com/new-in/etp20212-etp20212-pk.html, BLUE, BEIGE
pants, 4490, https://pk.khaadi.com/new-in/kfb20302-kfb20302-pk.html, BLACK
